ADDRESS,ENS_NAME,ACTIVITY,AUM,ANT,SCORE
0x71342c7e6B0C2493866FB5a2b2BB0beBfb7Fdb1C,,5102,11.187818521668182,0,0.21304547591697656
0x49C8C959ce8692978e4f3B169FFd179EC241adaF,budget.aragonid.eth,121,1780787.3897953283,530000.0000000001,0.1572320524106794
0x40204DaaCb1480019A7A6826C699903dF94eE019,network.aragonid.eth,31,592366.4632151568,732989.2997047672,0.12060231182258108
0x635193983512c621E6a3E15ee1dbF36f0C0Db8E0,a1.aragonid.eth,91,1030926.8028676605,345511.011,0.09667220824385142
0x3EcD508F87Ef27417474B0FDF8dd90A3b2B337C9,,457,227833.25508275264,281918.96142491046,0.06497064414447926
0x451119af1Af011897714200D604aEc5e17802B40,4c4bf6a8.aragonid.eth,94,1059606.6137051024,0,0.05556467276475839
0x57EBE61f5f8303AD944136b293C1836B3803b4c0,,801,0,0,0.033447469517287456
0x1030678E350Ee3AA845C29cA8c8cE0693AbE8144,associationops.aragonid.eth,59,85059.95625197688,74621.9299886425,0.015816180883517734
0xAf3098521355BC588424560155a40C5b4bf7185E,pinion.aragonid.eth,31,129908.78958648338,24999.999999999996,0.01071012211048542
0x5aAd137d8f7D2Dc6e1B2548c059B1483360bCC6a,,202,15054.841342371074,5255,0.009817016549685949
0xd6878C9974359CBB67e8583e7a6CAfB0fa20a286,commonsstackorg.aragonid.eth,216,0,0,0.009019542341740438
0x2Ab6c91aCBAbc7f856867F94fc2e2e0E395B8212,cbdaoone.aragonid.eth,174,26.417517170408935,0,0.007267029889017174
0xa365A8429FceFdbE1E684dDdDA3531b6e8d96e75,lexdao.aragonid.eth,163,170.06346571199074,0,0.006814701871284461
0x1c532BC3B37d05E30aaE367e4FACdCFC98F8a426,marsdao.aragonid.eth,146,12.160770983758063,0,0.006097135159045121
0xF4dAcf2EdB6E2bd88EB90C3AEf1e510153d38579,arca.aragonid.eth,111,24999.999999999996,0,0.005853407523489112
0xd4B98509B1323380414A23f36D36Aa570f71c8Fa,venturelabs.aragonid.eth,132,0,0,0.005511942542174712
0x8C38a7815Cefe22216421a7e9a7651753A5D4F01,aloha.aragonid.eth,110,0,0,0.00459328545181226
0x279489452DD8035F82326c8036f81d7Bd1C65e6c,global.aragonid.eth,109,1.4594057536674137,0,0.0045515994348928656
0x215b47BC9e8a7930E8Bc17693a7F3FE42AC8e205,blockdamdao2.aragonid.eth,104,444.2178168765938,0,0.004364391385382107
0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6,,101,596.4268162026657,500,0.004308229772576378
0xd0e6765f2b08b8C93F3d8E07B790A13b1208e905,holdings.aragonid.eth,56,39626.282208418656,0,0.004269570770249266
0x5ECaD5DcC4B81C68B2b79eD80D391C79CD7f3C00,levelk.aragonid.eth,2,20202.390580283125,24995,0.0041520509460614
0x12b013C23F1918EaC4b5342117f0B202E048566C,,96,0,0,0.004008685485217972
0x58fF93E56B2ef18e0D969d6e9a5ba6d3c2081Af9,mesh.aragonid.eth,54,18162.030614206855,5000,0.0037569244759047705
0x564857b2a0AC99E03b020e606306Be2A419d6Fd6,trustcommunity.aragonid.eth,89,0,0,0.0037163855019208283
0xed83383b54a7fDb9185e15C259fC54a29b7e8b41,galt.aragonid.eth,88,0,0,0.003674628361449808
0x811537A8Ae4F062e034e807109EF6fFa05032d88,saturndao.aragonid.eth,87,85.85693080382904,0,0.0036370554239224815
0x08ac31Dd93c16F1f6c4A0FAE540bA1aD52f581d0,sf.aragonid.eth,84,52.83503434081787,0,0.003510174693684922
0x6218a1490182c97390bDfaD033Ed121B1Ca8ec8F,association.aragonid.eth,83,9.24283514567077e-10,1.1036219e-11,0.0034658426590947517
0xC63627255269DDC12dE3BEE4d7E6526DDa59aF70,6ef0c0b0.aragonid.eth,66,13218.758607930888,0,0.0034001821479664844
0x2dE83b50Af29678774D5AbC4a7Cb2a588762f28C,,79,53.09920951252196,0,0.003301401865800415
0xF47917B108ca4B820CCEA2587546fbB9f7564b56,,79,0.26417517170408933,0,0.003298826971681219
0x8eB38a926C096c5d99e71D84973b8E9C690B99A9,brightiddev.aragonid.eth,65,3750,0,0.0028969688702972104
0x36880251bd3243Ced5cAFe54805C192E89439DEE,landingblock.aragonid.eth,64,0,0,0.002672456990145315
0x40A1012eb865E928AB45FC1d041A216024C21e55,tellor.aragonid.eth,60,0,0,0.0025054284282612325
0xE59cd35e68A8C51AdDa1c9F4681024066e13FF22,metagame.aragonid.eth,59,0,0,0.002463671287790212
0xf6b32eEe531A651DCa4aC81bA9aED06CcA2495C0,brightidbiz.aragonid.eth,57,504.1,0,0.0024047241173210054
0xaa95B84C444c5FEd9f43ac0045b874Aa95a3040f,,55,0,0,0.00229664272590613
0xc360749B6bFD447881Fc6A77598434B9336e2CB3,deficy.aragonid.eth,54,45.70230470480745,0,0.002257112868848214
0xdD80922B1C2B6C6D3b7c498515650259387f73Af,1abd78238e.aragonid.eth,54,0,0,0.0022548855854351096
0x279dDB39EA2aF95AcDD1f45E6DCBD84C121CB7a2,brightidcomm.aragonid.eth,52,1367.4,0,0.0022380109927703025
0xf709BeC6c3BBF287f32f09a5D213B3b1c07D34b0,leo.aragonid.eth,52,9.134828906957381,0,0.0021718164867007804
0xDAF9BEC2FDca88C43F587781C73F4D2ae049f48A,1hive.aragonid.eth,34,14615.30990090592,0,0.0021320140176934645
0x111f04A89B6D4B8988e8c0eC0C1a00F74D669e8D,aaron.aragonid.eth,47,338.88974211953246,0,0.0019791012572317186
0xf0F25e74CD1556DB3af4958c0CA1c417618d038A,shipr.aragonid.eth,46,2.6419443007410655,0,0.0019209572157583938
0x70C2B59e2a6C6AAa434A0301bc5448eD73E2ec93,,45,35.204758585204466,0,0.0018807870109267956
0x06A0A7257546FeC3042c2FC2504c4De21C2b94ab,centrifugelabic01.aragonid.eth,29,13265.680121658752,0,0.0018574546516125293
0x97C4a85e6086f40526F405e3166620aA03c4dE0f,abeseba.aragonid.eth,44,0,0,0.001837314180724904
0x0b6F260C19677d6f939E8B8E8Fa4Ccf67953EBaC,rdao.aragonid.eth,39,0,0,0.0016285284783698012
0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD,,22,13973.102427219159,0,0.0015996306094612886
0xd9cE3e144E93023F2D2FD28E3ad51EDb3Fa3C32B,quadrowalkers.aragonid.eth,38,0,0,0.0015867713378987806
0x68EadB412B491F7484B23316316A580A9cd8385b,hemp.aragonid.eth,38,0,0,0.0015867713378987806
0x3C307FeFd3D71c3Ca8a3c26539eF4d47c61B6565,,36,6.7804586000274005,0,0.0015035874998757704
0x330b768f5A2f54F90fe5cCeE8806b6738560Ba1d,,35,0,0,0.0014614999164857191
